,Win_Loss,FG,FGA,FG_Percent,3P,Differential,3PA,3P_Percent,FT,FTA,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Plus_Minus,Postseason,Opp_Def_Eff,Opp_TS,Opp_TO_per_POS,Opp_3PT_Made,Over/Under
0,0,9.0,15.0,0.6,7.0,-5,11.0,0.636,4.0,4.0,1.0,2.0,5.0,7.0,1.0,1.0,2.0,5.0,4.0,29.0,21.5,10.0,0,1.056,1.113,0.148,10.2,1
1,0,5.0,10.0,0.5,2.0,-10,6.0,0.333,0.0,0.0,,2.0,0.0,2.0,2.0,0.0,1.0,2.0,5.0,12.0,6.5,-11.0,0,1.014,1.062,0.141,9.3,1
2,0,2.0,7.0,0.286,1.0,-34,1.0,1.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,5.0,0.9,-11.0,0,1.036,1.082,0.139,9.0,0
3,1,4.0,7.0,0.571,3.0,11,5.0,0.6,2.0,3.0,0.667,2.0,3.0,5.0,2.0,4.0,0.0,0.0,3.0,13.0,15.8,8.0,0,1.042,1.103,0.149,11.1,1
4,0,8.0,18.0,0.444,4.0,-1,12.0,0.333,0.0,0.0,,2.0,4.0,6.0,1.0,2.0,1.0,0.0,5.0,20.0,14.6,9.0,0,1.032,1.098,0.144,10.2,1
5,1,4.0,10.0,0.4,3.0,2,6.0,0.5,0.0,0.0,,1.0,4.0,5.0,1.0,1.0,0.0,1.0,3.0,11.0,7.0,14.0,0,1.066,1.121,0.139,10.7,0
6,1,2.0,8.0,0.25,1.0,8,4.0,0.25,0.0,0.0,,1.0,7.0,8.0,2.0,4.0,1.0,3.0,4.0,5.0,4.5,5.0,0,1.032,1.098,0.144,10.2,0
7,1,7.0,15.0,0.467,6.0,10,11.0,0.545,2.0,2.0,1.0,0.0,3.0,3.0,3.0,2.0,0.0,2.0,4.0,22.0,15.7,12.0,0,1.072,1.128,0.149,11.6,1
8,1,8.0,13.0,0.615,5.0,11,9.0,0.556,1.0,2.0,0.5,0.0,6.0,6.0,2.0,0.0,1.0,2.0,2.0,22.0,16.8,21.0,0,1.047,1.106,0.156,10.6,1
9,1,5.0,8.0,0.625,3.0,7,5.0,0.6,1.0,3.0,0.333,1.0,11.0,12.0,0.0,1.0,1.0,3.0,6.0,14.0,9.9,13.0,0,1.013,1.078,0.148,9.8,1
10,0,7.0,16.0,0.438,6.0,-1,12.0,0.5,4.0,5.0,0.8,2.0,5.0,7.0,0.0,1.0,2.0,1.0,4.0,24.0,17.9,6.0,0,1.079,1.142,0.146,11.9,1
11,0,4.0,10.0,0.4,2.0,-21,6.0,0.333,1.0,2.0,0.5,0.0,4.0,4.0,2.0,1.0,0.0,0.0,2.0,11.0,8.0,-27.0,0,1.037,1.062,0.139,10.4,0
12,1,9.0,12.0,0.75,5.0,4,8.0,0.625,8.0,8.0,1.0,1.0,5.0,6.0,4.0,4.0,0.0,2.0,3.0,31.0,32.0,10.0,0,1.068,1.106,0.138,10.7,1
