,Win_Loss,FG,FGA,FG_Percent,3P,Differential,3PA,3P_Percent,FT,FTA,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Postseason,Opp_Def_Eff,Opp_TS,Opp_TO_per_POS,Opp_3PT_Made,Over/Under
0,1,10.0,20.0,0.5,4.0,48,6.0,0.667,3.0,3.0,1.0,3.0,2.0,5.0,5.0,1.0,3.0,0.0,1.0,27.0,25.9,34.0,0,1.093,1.129,0.129,10.9,0
1,1,7.0,17.0,0.412,0.0,18,3.0,0.0,4.0,4.0,1.0,0.0,7.0,7.0,7.0,1.0,1.0,0.0,2.0,18.0,16.8,25.0,0,1.047,1.106,0.156,10.6,0
2,0,6.0,15.0,0.4,3.0,-3,6.0,0.5,11.0,12.0,0.917,2.0,3.0,5.0,4.0,4.0,0.0,6.0,5.0,26.0,18.6,-5.0,0,1.067,1.122,0.154,10.1,0
3,1,3.0,16.0,0.188,1.0,10,8.0,0.125,6.0,9.0,0.667,1.0,4.0,5.0,7.0,1.0,0.0,6.0,0.0,13.0,3.6,3.0,0,1.053,1.086,0.137,10.8,0
4,0,7.0,19.0,0.368,4.0,-1,9.0,0.444,7.0,7.0,1.0,0.0,2.0,2.0,6.0,0.0,0.0,1.0,3.0,25.0,17.1,1.0,0,1.068,1.106,0.138,10.7,0
5,1,7.0,21.0,0.333,3.0,7,8.0,0.375,8.0,9.0,0.889,3.0,4.0,7.0,9.0,1.0,0.0,2.0,2.0,25.0,20.5,2.0,0,1.093,1.129,0.129,10.9,0
6,0,12.0,23.0,0.522,3.0,-14,8.0,0.375,9.0,10.0,0.9,1.0,1.0,2.0,2.0,2.0,1.0,6.0,0.0,36.0,23.4,-7.0,0,1.036,1.082,0.139,9.0,1
7,0,12.0,27.0,0.444,4.0,-9,15.0,0.267,5.0,5.0,1.0,2.0,8.0,10.0,8.0,2.0,1.0,5.0,3.0,33.0,24.8,1.0,0,1.013,1.078,0.148,9.8,1
8,1,8.0,18.0,0.444,2.0,3,6.0,0.333,14.0,14.0,1.0,2.0,4.0,6.0,5.0,0.0,0.0,2.0,2.0,32.0,25.9,6.0,0,1.048,1.09,0.136,10.4,1
9,1,10.0,18.0,0.556,1.0,4,5.0,0.2,15.0,15.0,1.0,1.0,4.0,5.0,13.0,0.0,1.0,2.0,2.0,36.0,36.3,14.0,0,1.037,1.11,0.159,11.2,1
10,0,4.0,16.0,0.25,0.0,-1,5.0,0.0,4.0,4.0,1.0,1.0,4.0,5.0,6.0,1.0,0.0,5.0,2.0,12.0,3.7,-10.0,0,1.074,1.134,0.15,10.7,0
11,0,7.0,16.0,0.438,1.0,-4,5.0,0.2,4.0,5.0,0.8,2.0,7.0,9.0,6.0,0.0,0.0,2.0,1.0,19.0,15.5,-12.0,0,1.074,1.097,0.12,9.0,0
12,1,4.0,14.0,0.286,2.0,17,8.0,0.25,5.0,5.0,1.0,1.0,4.0,5.0,7.0,4.0,0.0,4.0,1.0,15.0,13.2,3.0,0,1.076,1.125,0.137,10.9,0
13,1,9.0,21.0,0.429,5.0,5,10.0,0.5,3.0,4.0,0.75,1.0,10.0,11.0,7.0,0.0,0.0,2.0,1.0,26.0,20.7,8.0,0,1.069,1.109,0.14,10.0,0
14,0,9.0,24.0,0.375,5.0,-4,14.0,0.357,6.0,6.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,29.0,19.6,8.0,0,1.079,1.142,0.146,11.9,1
15,1,8.0,18.0,0.444,1.0,12,7.0,0.143,5.0,6.0,0.833,1.0,1.0,2.0,6.0,1.0,1.0,2.0,1.0,22.0,16.7,20.0,0,1.079,1.142,0.146,11.9,0
